 NODE_NUM  TIME  DATE   X Y A_CONC     B_CONC    C_CONC
 134           0.00 01/01/2024       3.27     723.67     0.0000     0.0000     0.0000
 135           0.00 01/01/2024       5.00     723.67     0.0000     0.0000     0.0000
 136           0.00 01/01/2024       0.00     722.65     0.0000     0.0000     0.0000
 137           0.00 01/01/2024       0.75     722.65     0.0000     0.0000     0.0000
 138           0.00 01/01/2024       1.80     722.65     0.0000     0.0000     0.0000
 139           0.00 01/01/2024       3.27     722.65     0.0000     0.0000     0.0000
 140           0.00 01/01/2024       5.00     722.65     0.0000     0.0000     0.0000
 141           0.00 01/01/2024       0.00     721.62     0.0000     0.0000     0.0000
 142           0.00 01/01/2024       0.75     721.62     0.0000     0.0000     0.0000
 143           0.00 01/01/2024       1.80     721.62     0.0000     0.0000     0.0000
 144           0.00 01/01/2024       3.27     721.62     0.0000     0.0000     0.0000
 145           0.00 01/01/2024       5.00     721.62     0.0000     0.0000     0.0000
 146           0.00 01/01/2024       0.00     720.59     0.0000     0.0000     0.0000
 147           0.00 01/01/2024       0.75     720.59     0.0000     0.0000     0.0000
 148           0.00 01/01/2024       1.80     720.59     0.0000     0.0000     0.0000
 149           0.00 01/01/2024       3.27     720.59     0.0000     0.0000     0.0000
 150           0.00 01/01/2024       5.00     720.59     0.0000     0.0000     0.0000
 151           0.00 01/01/2024       0.00     719.56     0.0000     0.0000     0.0000
 152           0.00 01/01/2024       0.75     719.56     0.0000     0.0000     0.0000
 153           0.00 01/01/2024       1.80     719.56     0.0000     0.0000     0.0000
 154           0.00 01/01/2024       3.27     719.56     0.0000     0.0000     0.0000
 155           0.00 01/01/2024       5.00     719.56     0.0000     0.0000     0.0000
 156           0.00 01/01/2024       0.00     718.53     0.0000     0.0000     0.0000
 157           0.00 01/01/2024       0.75     718.53     0.0000     0.0000     0.0000
 158           0.00 01/01/2024       1.80     718.53     0.0000     0.0000     0.0000
 159           0.00 01/01/2024       3.27     718.53     0.0000     0.0000     0.0000
 160           0.00 01/01/2024       5.00     718.53     0.0000     0.0000     0.0000
 161           0.00 01/01/2024       0.00     717.50     0.0000     0.0000     0.0000
 162           0.00 01/01/2024       0.75     717.50     0.0000     0.0000     0.0000
 163           0.00 01/01/2024       1.80     717.50     0.0000     0.0000     0.0000
 164           0.00 01/01/2024       3.27     717.50     0.0000     0.0000     0.0000
 165           0.00 01/01/2024       5.00     717.50     0.0000     0.0000     0.0000
 166           0.00 01/01/2024       0.00     716.47     0.0000     0.0000     0.0000
 167           0.00 01/01/2024       0.75     716.47     0.0000     0.0000     0.0000
 168           0.00 01/01/2024       1.80     716.47     0.0000     0.0000     0.0000
 169           0.00 01/01/2024       3.27     716.47     0.0000     0.0000     0.0000
 170           0.00 01/01/2024       5.00     716.47     0.0000     0.0000     0.0000
 171           0.00 01/01/2024       0.00     715.43     0.0000     0.0000     0.0000
 172           0.00 01/01/2024       0.75     715.43     0.0000     0.0000     0.0000
 173           0.00 01/01/2024       1.80     715.43     0.0000     0.0000     0.0000
 174           0.00 01/01/2024       3.27     715.43     0.0000     0.0000     0.0000
 175           0.00 01/01/2024       5.00     715.43     0.0000     0.0000     0.0000
 176           0.00 01/01/2024       0.00     714.40     0.0000     0.0000     0.0000
 177           0.00 01/01/2024       0.75     714.40     0.0000     0.0000     0.0000
 178           0.00 01/01/2024       1.80     714.40     0.0000     0.0000     0.0000
 179           0.00 01/01/2024       3.27     714.40     0.0000     0.0000     0.0000
 180           0.00 01/01/2024       5.00     714.40     0.0000     0.0000     0.0000
 181           0.00 01/01/2024       0.00     713.36     0.0000     0.0000     0.0000
 182           0.00 01/01/2024       0.75     713.36     0.0000     0.0000     0.0000
 183           0.00 01/01/2024       1.80     713.36     0.0000     0.0000     0.0000
 184           0.00 01/01/2024       3.27     713.36     0.0000     0.0000     0.0000
 185           0.00 01/01/2024       5.00     713.36     0.0000     0.0000     0.0000
 186           0.00 01/01/2024       0.00     712.33     0.0000     0.0000     0.0000
 187           0.00 01/01/2024       0.75     712.33     0.0000     0.0000     0.0000
 188           0.00 01/01/2024       1.80     712.33     0.0000     0.0000     0.0000
 189           0.00 01/01/2024       3.27     712.33     0.0000     0.0000     0.0000
 190           0.00 01/01/2024       5.00     712.33     0.0000     0.0000     0.0000
 191           0.00 01/01/2024       0.00     711.29     0.0000     0.0000     0.0000
 192           0.00 01/01/2024       0.75     711.29     0.0000     0.0000     0.0000
 193           0.00 01/01/2024       1.80     711.29     0.0000     0.0000     0.0000
 194           0.00 01/01/2024       3.27     711.29     0.0000     0.0000     0.0000
 195           0.00 01/01/2024       5.00     711.29     0.0000     0.0000     0.0000
 196           0.00 01/01/2024       0.00     710.25     0.0000     0.0000     0.0000
 197           0.00 01/01/2024       0.75     710.25     0.0000     0.0000     0.0000
 198           0.00 01/01/2024       1.80     710.25     0.0000     0.0000     0.0000
 199           0.00 01/01/2024       3.27     710.25     0.0000     0.0000     0.0000
 200           0.00 01/01/2024       5.00     710.25     0.0000     0.0000     0.0000
 201           0.00 01/01/2024       0.00     709.21     0.0000     0.0000     0.0000
 202           0.00 01/01/2024       0.75     709.21     0.0000     0.0000     0.0000
 203           0.00 01/01/2024       1.80     709.21     0.0000     0.0000     0.0000
 204           0.00 01/01/2024       3.27     709.21     0.0000     0.0000     0.0000
 205           0.00 01/01/2024       5.00     709.21     0.0000     0.0000     0.0000
 206           0.00 01/01/2024       0.00     708.17     0.0000     0.0000     0.0000
 207           0.00 01/01/2024       0.75     708.17     0.0000     0.0000     0.0000
 208           0.00 01/01/2024       1.80     708.17     0.0000     0.0000     0.0000
 209           0.00 01/01/2024       3.27     708.17     0.0000     0.0000     0.0000
 210           0.00 01/01/2024       5.00     708.17     0.0000     0.0000     0.0000
 211           0.00 01/01/2024       0.00     707.13     0.0000     0.0000     0.0000
 212           0.00 01/01/2024       0.75     707.13     0.0000     0.0000     0.0000
 213           0.00 01/01/2024       1.80     707.13     0.0000     0.0000     0.0000
 214           0.00 01/01/2024       3.27     707.13     0.0000     0.0000     0.0000
 215           0.00 01/01/2024       5.00     707.13     0.0000     0.0000     0.0000
 216           0.00 01/01/2024       0.00     706.08     0.0000     0.0000     0.0000
 217           0.00 01/01/2024       0.75     706.08     0.0000     0.0000     0.0000
 218           0.00 01/01/2024       1.80     706.08     0.0000     0.0000     0.0000
 219           0.00 01/01/2024       3.27     706.08     0.0000     0.0000     0.0000
 220           0.00 01/01/2024       5.00     706.08     0.0000     0.0000     0.0000
 221           0.00 01/01/2024       0.00     705.04     0.0000     0.0000     0.0000
 222           0.00 01/01/2024       0.75     705.04     0.0000     0.0000     0.0000
 223           0.00 01/01/2024       1.80     705.04     0.0000     0.0000     0.0000
 224           0.00 01/01/2024       3.27     705.04     0.0000     0.0000     0.0000
 225           0.00 01/01/2024       5.00     705.04     0.0000     0.0000     0.0000
 226           0.00 01/01/2024       0.00     704.00     0.0000     0.0000     0.0000
 227           0.00 01/01/2024       0.75     704.00     0.0000     0.0000     0.0000
 228           0.00 01/01/2024       1.80     704.00     0.0000     0.0000     0.0000
 229           0.00 01/01/2024       3.27     704.00     0.0000     0.0000     0.0000
 230           0.00 01/01/2024       5.00     704.00     0.0000     0.0000     0.0000
 231           0.00 01/01/2024       0.00     702.95     0.0000     0.0000     0.0000
 232           0.00 01/01/2024       0.75     702.95     0.0000     0.0000     0.0000
 233           0.00 01/01/2024       1.80     702.95     0.0000     0.0000     0.0000
 234           0.00 01/01/2024       3.27     702.95     0.0000     0.0000     0.0000
 235           0.00 01/01/2024       5.00     702.95     0.0000     0.0000     0.0000
 236           0.00 01/01/2024       0.00     701.90     0.0000     0.0000     0.0000
 237           0.00 01/01/2024       0.75     701.90     0.0000     0.0000     0.0000
 238           0.00 01/01/2024       1.80     701.90     0.0000     0.0000     0.0000
 239           0.00 01/01/2024       3.27     701.90     0.0000     0.0000     0.0000
 240           0.00 01/01/2024       5.00     701.90     0.0000     0.0000     0.0000
 241           0.00 01/01/2024       0.00     700.85     0.0000     0.0000     0.0000
 242           0.00 01/01/2024       0.75     700.85     0.0000     0.0000     0.0000
 243           0.00 01/01/2024       1.80     700.85     0.0000     0.0000     0.0000
 244           0.00 01/01/2024       3.27     700.85     0.0000     0.0000     0.0000
 245           0.00 01/01/2024       5.00     700.85     0.0000     0.0000     0.0000
 246           0.00 01/01/2024       0.00     699.81     0.0000     0.0000     0.0000
 247           0.00 01/01/2024       0.75     699.81     0.0000     0.0000     0.0000
 248           0.00 01/01/2024       1.80     699.81     0.0000     0.0000     0.0000
 249           0.00 01/01/2024       3.27     699.81     0.0000     0.0000     0.0000
 250           0.00 01/01/2024       5.00     699.81     0.0000     0.0000     0.0000
 251           0.00 01/01/2024       0.00     698.76     0.0000     0.0000     0.0000
 252           0.00 01/01/2024       0.75     698.76     0.0000     0.0000     0.0000
 253           0.00 01/01/2024       1.80     698.76     0.0000     0.0000     0.0000
 254           0.00 01/01/2024       3.27     698.76     0.0000     0.0000     0.0000
 255           0.00 01/01/2024       5.00     698.76     0.0000     0.0000     0.0000
 256           0.00 01/01/2024       0.00     697.70     0.0000     0.0000     0.0000
 257           0.00 01/01/2024       0.75     697.70     0.0000     0.0000     0.0000
 258           0.00 01/01/2024       1.80     697.70     0.0000     0.0000     0.0000
 259           0.00 01/01/2024       3.27     697.70     0.0000     0.0000     0.0000
 260           0.00 01/01/2024       5.00     697.70     0.0000     0.0000     0.0000
 261           0.00 01/01/2024       0.00     696.65     0.0000     0.0000     0.0000
 262           0.00 01/01/2024       0.75     696.65     0.0000     0.0000     0.0000
 263           0.00 01/01/2024       1.80     696.65     0.0000     0.0000     0.0000
 264           0.00 01/01/2024       3.27     696.65     0.0000     0.0000     0.0000
 265           0.00 01/01/2024       5.00     696.65     0.0000     0.0000     0.0000
 266           0.00 01/01/2024       0.00     695.60     0.0000     0.0000     0.0000
 267           0.00 01/01/2024       0.75     695.60     0.0000     0.0000     0.0000
 268           0.00 01/01/2024       1.80     695.60     0.0000     0.0000     0.0000
 269           0.00 01/01/2024       3.27     695.60     0.0000     0.0000     0.0000
 270           0.00 01/01/2024       5.00     695.60     0.0000     0.0000     0.0000
 271           0.00 01/01/2024       0.00     694.54     0.0000     0.0000     0.0000
 272           0.00 01/01/2024       0.75     694.54     0.0000     0.0000     0.0000
 273           0.00 01/01/2024       1.80     694.54     0.0000     0.0000     0.0000
 274           0.00 01/01/2024       3.27     694.54     0.0000     0.0000     0.0000
 275           0.00 01/01/2024       5.00     694.54     0.0000     0.0000     0.0000
 276           0.00 01/01/2024       0.00     693.49     0.0000     0.0000     0.0000
 277           0.00 01/01/2024       0.75     693.49     0.0000     0.0000     0.0000
 278           0.00 01/01/2024       1.80     693.49     0.0000     0.0000     0.0000
 279           0.00 01/01/2024       3.27     693.49     0.0000     0.0000     0.0000
 280           0.00 01/01/2024       5.00     693.49     0.0000     0.0000     0.0000
 281           0.00 01/01/2024       0.00     692.43     0.0000     0.0000     0.0000
 282           0.00 01/01/2024       0.75     692.43     0.0000     0.0000     0.0000
 283           0.00 01/01/2024       1.80     692.43     0.0000     0.0000     0.0000
 284           0.00 01/01/2024       3.27     692.43     0.0000     0.0000     0.0000
 285           0.00 01/01/2024       5.00     692.43     0.0000     0.0000     0.0000
 286           0.00 01/01/2024       0.00     691.37     0.0000     0.0000     0.0000
 287           0.00 01/01/2024       0.75     691.37     0.0000     0.0000     0.0000
 288           0.00 01/01/2024       1.80     691.37     0.0000     0.0000     0.0000
 289           0.00 01/01/2024       3.27     691.37     0.0000     0.0000     0.0000
 290           0.00 01/01/2024       5.00     691.37     0.0000     0.0000     0.0000
 291           0.00 01/01/2024       0.00     690.32     0.0000     0.0000     0.0000
 292           0.00 01/01/2024       0.75     690.32     0.0000     0.0000     0.0000
 293           0.00 01/01/2024       1.80     690.32     0.0000     0.0000     0.0000
 294           0.00 01/01/2024       3.27     690.32     0.0000     0.0000     0.0000
 295           0.00 01/01/2024       5.00     690.32     0.0000     0.0000     0.0000
 296           0.00 01/01/2024       0.00     689.26     0.0000     0.0000     0.0000
 297           0.00 01/01/2024       0.75     689.26     0.0000     0.0000     0.0000
 298           0.00 01/01/2024       1.80     689.26     0.0000     0.0000     0.0000
 299           0.00 01/01/2024       3.27     689.26     0.0000     0.0000     0.0000
 300           0.00 01/01/2024       5.00     689.26     0.0000     0.0000     0.0000
 301           0.00 01/01/2024       0.00     688.20     0.0000     0.0000     0.0000
 302           0.00 01/01/2024       0.75     688.20     0.0000     0.0000     0.0000
 303           0.00 01/01/2024       1.80     688.20     0.0000     0.0000     0.0000
 304           0.00 01/01/2024       3.27     688.20     0.0000     0.0000     0.0000
 305           0.00 01/01/2024       5.00     688.20     0.0000     0.0000     0.0000
 306           0.00 01/01/2024       0.00     687.13     0.0000     0.0000     0.0000
 307           0.00 01/01/2024       0.75     687.13     0.0000     0.0000     0.0000
 308           0.00 01/01/2024       1.80     687.13     0.0000     0.0000     0.0000
 309           0.00 01/01/2024       3.27     687.13     0.0000     0.0000     0.0000
 310           0.00 01/01/2024       5.00     687.13     0.0000     0.0000     0.0000
 311           0.00 01/01/2024       0.00     686.07     0.0000     0.0000     0.0000
 312           0.00 01/01/2024       0.75     686.07     0.0000     0.0000     0.0000
 313           0.00 01/01/2024       1.80     686.07     0.0000     0.0000     0.0000
 314           0.00 01/01/2024       3.27     686.07     0.0000     0.0000     0.0000
